#node1	node2	node1_accession	node2_accession	onset_condition	terminus_condition	onset	terminus	type	confidence_score_G1	confidence_score_S	confidence_score_G2	confidence_score_M	cluster	abundance_G1	abundance_S	abundance_G2	abundance_M
XPO1	DDX3X	O14980	O00571			Inf	Inf	STRING	0.384	0.384	0.384	0.384					
CCNE1	DDX3X	P24864-1	O00571	G1	 G2	1	3	Provided	0.071035817	0.072204871	0	0	2	2.5	2.5	0	0
EIF4B	DDX3X	P23588	O00571			Inf	Inf	STRING	0.407	0.407	0.407	0.407					
RPL23A	DDX3X	A8MUS3	O00571			Inf	Inf	STRING	0.185	0.185	0.185	0.185					
RPL27	DDX3X	P61353	O00571			Inf	Inf	STRING	0.297	0.297	0.297	0.297					
CCNE1	GIPC1	P24864-1	O14908	G1	 G2	1	3	Provided	0.070716905	0.098567622	0	0	2	2.5	3.4	0	0
RPL23A	XPO1	A8MUS3	O14980			Inf	Inf	STRING	0.041	0.041	0.041	0.041					
CCNE1	XPO1	P24864-1	O14980	G1	 G2	1	3	Provided	0.075256447	0.079468481	0	0	2	2.6	2.8	0	0
RPS20	XPO1	B4DW28	O14980			Inf	Inf	STRING	0.052	0.052	0.052	0.052					
CCNA2	XPO1	P20248	O14980	 G2	 M	3	4	Provided	0	0.018608596	0.065471347	0	2	0	0.6	2.3	0
CCNA2	MAGEB4	P20248	O15481	 S	 M	2	4	Provided	0	0.087673352	0.056232092	0	1	0	3.1	2	0
CCNB1	MAGEB4	P14635	O15481	 M		4	5	Provided	0	0	0.009994842	0.088765043	1	0	0	0.3	3.1
PSMC6	BUB3	P62333	O43684			Inf	Inf	STRING	0.11	0.11	0.11	0.11					
MAD1L1	BUB3	Q9Y6D9	O43684			Inf	Inf	STRING	0.266	0.266	0.266	0.266					
CCNB1	BUB3	P14635	O43684	 M		4	5	Provided	0	0	0.014660458	0.070848138	1	0	0	0.5	2.5
HDAC1	BUB3	Q13547	O43684			Inf	Inf	STRING	0.342	0.342	0.342	0.342					
XPO1	BUB3	O14980	O43684			Inf	Inf	STRING	0.041	0.041	0.041	0.041					
CDC20	BUB3	Q12834	O43684			Inf	Inf	STRING	0.993	0.993	0.993	0.993					
ACTG1	ACTN4	P63261	O43707			Inf	Inf	STRING	0.381	0.381	0.381	0.381					
CCNB1	ACTN4	P14635	O43707	 M		4	5	Provided	0	0	0.018953295	0.573696275	1	0	0	0.7	20
CDC73	ACTN4	Q6P1J9	O43707			Inf	Inf	STRING	0.117	0.117	0.117	0.117					
ANXA2	ACTN4	Q6N0B3	O43707			Inf	Inf	STRING	0.058	0.058	0.058	0.058					
CCNA2	ACTN4	P20248	O43707	 G2	 M	3	4	Provided	0	0.016023926	0.27997851	0	2	0	0.6	9.8	0
YWHAZ	TBC1D4	P63104	O60343			Inf	Inf	STRING	0.4	0.4	0.4	0.4					
YWHAQ	TBC1D4	P27348	O60343			Inf	Inf	STRING	0.31	0.31	0.31	0.31					
CCNA2	TBC1D4	P20248	O60343	 S	 M	2	4	Provided	0	0.110470869	0.234560649	0	2	0	3.9	8.2	0
CCNA2	ANKRD17	P20248	O75179-1	 S	 M	2	4	Provided	0	0.105491404	0.079070201	0	1	0	3.7	2.8	0
CCNE1	NUP155	P24864-1	O75694-1	G1	 G2	1	3	Provided	0.057574499	0.056597421	0	0	2	2	2	0	0
CCNB1	BAG2	P14635	O95816	 G2		3	5	Provided	0	0	0.07039255	0.05730086	2	0	0	2.5	2
CCNA2	BAG2	P20248	O95816	 S	 M	2	4	Provided	0	0.095530086	0.065823782	0	1	0	3.3	2.3	0
RPSA	EIF2S1	P08865	P05198			Inf	Inf	STRING	0.801	0.801	0.801	0.801					
RPS11	EIF2S1	P62280	P05198			Inf	Inf	STRING	0.809	0.809	0.809	0.809					
RPL4	EIF2S1	P36578	P05198			Inf	Inf	STRING	0.626	0.626	0.626	0.626					
RPS20	EIF2S1	B4DW28	P05198			Inf	Inf	STRING	0.809	0.809	0.809	0.809					
RPS19	EIF2S1	P39019	P05198			Inf	Inf	STRING	0.731	0.731	0.731	0.731					
EIF3A	EIF2S1	Q14152	P05198			Inf	Inf	STRING	0.798	0.798	0.798	0.798					
RPS17	EIF2S1	P08708	P05198			Inf	Inf	STRING	0.809	0.809	0.809	0.809					
RPL13	EIF2S1	P26373	P05198			Inf	Inf	STRING	0.223	0.223	0.223	0.223					
CCNA2	EIF2S1	P20248	P05198	 S	 M	2	4	Provided	0	0.102624642	0.113389685	0	1	0	3.6	4	0
DDX3X	EIF2S1	O00571	P05198			Inf	Inf	STRING	0.33	0.33	0.33	0.33					
RPL27A	EIF2S1	P46776	P05198			Inf	Inf	STRING	0.223	0.223	0.223	0.223					
RPS21	EIF2S1	P63220	P05198			Inf	Inf	STRING	0.731	0.731	0.731	0.731					
PSMC6	EIF2S1	P62333	P05198			Inf	Inf	STRING	0.051	0.051	0.051	0.051					
EIF4B	EIF2S1	P23588	P05198			Inf	Inf	STRING	0.051	0.051	0.051	0.051					
RPS28	EIF2S1	P62857	P05198			Inf	Inf	STRING	0.809	0.809	0.809	0.809					
RPLP0	EIF2S1	P05388	P05198			Inf	Inf	STRING	0.218	0.218	0.218	0.218					
RPS5	EIF2S1	P46782	P05198			Inf	Inf	STRING	0.809	0.809	0.809	0.809					
RPS8	EIF2S1	P62241	P05198			Inf	Inf	STRING	0.731	0.731	0.731	0.731					
CCNA2	RPLP0	P20248	P05388	 S	 M	2	4	Provided	0	0.068340974	0.208217765	0	2	0	2.4	7.3	0
RPL27	RPLP0	P61353	P05388			Inf	Inf	STRING	0.986	0.986	0.986	0.986					
RPS5	RPLP0	P46782	P05388			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS28	RPLP0	P62857	P05388			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
CCNB1	RPLP0	P14635	P05388	 M		4	5	Provided	0	0	0.032492837	0.055845272	1	0	0	1.1	1.9
RPS19	RPLP0	P39019	P05388			Inf	Inf	STRING	0.986	0.986	0.986	0.986					
CCNB1	CDC2	P14635	P06493-1	 G2		3	5	Provided	0	0	0.26734384	0.316498567	2	0	0	9.3	11
CCNE1	CDC2	P24864-1	P06493-1	G1	 G2	1	3	Provided	0.412901146	0.637098854	0	0	2	14.4	22.2	0	0
CCNA2	CDC2	P20248	P06493-1	 S	 M	2	4	Provided	0	0.340358166	0.354215855	0	1	0	11.9	12.4	0
CCNA2	NPM1	P20248	P06748-1	 S	 M	2	4	Provided	0	0.120143266	0.187802292	0	2	0	4.2	6.6	0
CCNB1	NPM1	P14635	P06748-1	 M		4	5	Provided	0	0	0.015274069	0.113368195	1	0	0	0.5	4
CCNA2	HNRNPC	P20248	P07910-1	 S	 M	2	4	Provided	0	0.121100287	0.067526266	0	1	0	4.2	2.4	0
CCNB1	HNRNPC	P14635	P07910-1	 M		4	5	Provided	0	0	0.025171347	0.118670487	1	0	0	0.9	4.1
CCNA2	VIM	P20248	P08670	 G2	 M	3	4	Provided	0	0.045292168	0.058989494	0	1	0	1.6	2.1	0
CCNB1	VIM	P14635	P08670	 M		4	5	Provided	0	0	0.014559503	0.093439351	1	0	0	0.5	3.3
RPL5	RPS17	P46777	P08708			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
RPL10A	RPS17	P62906	P08708			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPL35A	RPS17	P18077	P08708			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPL27	RPS17	P61353	P08708			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL13A	RPS17	P40429	P08708			Inf	Inf	STRING	0.958	0.958	0.958	0.958					
RPL22	RPS17	P35268	P08708			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL18	RPS17	Q07020	P08708			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL31	RPS17	P62899	P08708			Inf	Inf	STRING	0.957	0.957	0.957	0.957					
RPLP0	RPS17	P05388	P08708			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL23A	RPS17	A8MUS3	P08708			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS19	RPS17	P39019	P08708			Inf	Inf	STRING	0.967	0.967	0.967	0.967					
RPSA	RPS17	P08865	P08708			Inf	Inf	STRING	0.99	0.99	0.99	0.99					
EIF3A	RPS17	Q14152	P08708			Inf	Inf	STRING	0.771	0.771	0.771	0.771					
EIF4B	RPS17	P23588	P08708			Inf	Inf	STRING	0.694	0.694	0.694	0.694					
SLIRP	RPS17	Q9GZT3	P08708			Inf	Inf	STRING	0.261	0.261	0.261	0.261					
RPS5	RPS17	P46782	P08708			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPS28	RPS17	P62857	P08708			Inf	Inf	STRING	0.99	0.99	0.99	0.99					
RPL14	RPS17	P50914	P08708			Inf	Inf	STRING	0.99	0.99	0.99	0.99					
CCNB1	RPS17	P14635	P08708	 M		4	5	Provided	0	0	0.027215759	0.076613181	1	0	0	0.9	2.7
RPS20	RPS17	B4DW28	P08708			Inf	Inf	STRING	0.844	0.844	0.844	0.844					
RPL9	RPS17	P32969	P08708			Inf	Inf	STRING	0.99	0.99	0.99	0.99					
RPS8	RPS17	P62241	P08708			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
EIF4B	RPSA	P23588	P08865			Inf	Inf	STRING	0.694	0.694	0.694	0.694					
CCNB1	RPSA	P14635	P08865	 M		4	5	Provided	0	0	0.026371729	0.093024833	1	0	0	0.9	3.2
RPS5	RPSA	P46782	P08865			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPS8	RPSA	P62241	P08865			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
DHX9	RPSA	Q08211	P08865			Inf	Inf	STRING	0.305	0.305	0.305	0.305					
RPL9	RPSA	P32969	P08865			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL22	RPSA	P35268	P08865			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL14	RPSA	P50914	P08865			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
RPS19	RPSA	P39019	P08865			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL31	RPSA	P62899	P08865			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPL35A	RPSA	P18077	P08865			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS20	RPSA	B4DW28	P08865			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
CCNA2	RPSA	P20248	P08865	 S	 G2	2	3	Provided	0	0.120548711	0.049103152	0	1	0	4.2	1.7	0
EIF3A	RPSA	Q14152	P08865			Inf	Inf	STRING	0.414	0.414	0.414	0.414					
RPL10A	RPSA	P62906	P08865			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL23A	RPSA	A8MUS3	P08865			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL27	RPSA	P61353	P08865			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS28	RPSA	P62857	P08865			Inf	Inf	STRING	0.988	0.988	0.988	0.988					
RPL13A	RPSA	P40429	P08865			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
RPLP0	RPSA	P05388	P08865			Inf	Inf	STRING	0.99	0.99	0.99	0.99					
PTBP1	RPSA	Q9BUQ0	P08865			Inf	Inf	STRING	0.14	0.14	0.14	0.14					
RPL18	RPSA	Q07020	P08865			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
RPL5	RPSA	P46777	P08865			Inf	Inf	STRING	0.985	0.985	0.985	0.985					
CCNB1	HNRNPA1	P14635	P09651-1	 M		4	5	Provided	0	0	0.015702006	0.216272206	1	0	0	0.5	7.5
CCNB1	PABPC1	P14635	P11940-1	 M		4	5	Provided	0	0	0.026565425	0.061178606	1	0	0	0.9	2.1
CCNA2	PABPC1	P20248	P11940-1	 S	 G2	2	3	Provided	0	0.146916905	0.03391404	0	1	0	5.1	1.2	0
CDKN1A	XRCC6	P38936	P12956			Inf	Inf	STRING	0.379	0.379	0.379	0.379					
XRCC5	XRCC6	P13010	P12956			Inf	Inf	STRING	0.993	0.993	0.993	0.993					
DHX9	XRCC6	Q08211	P12956			Inf	Inf	STRING	0.313	0.313	0.313	0.313					
CCNA2	XRCC6	P20248	P12956	 G2	 M	3	4	Provided	0	0.00527765	0.061876791	0	2	0	0.2	2.2	0
HIST1H2BB	XRCC6	Q16778	P12956			Inf	Inf	STRING	0.185	0.185	0.185	0.185					
ILF2	XRCC6	Q12905	P12956			Inf	Inf	STRING	0.294	0.294	0.294	0.294					
CCNB1	XRCC5	P14635	P13010	 M		4	5	Provided	0	0	0.026042693	0.075475645	1	0	0	0.9	2.6
CCNA2	XRCC5	P20248	P13010	 S	 M	2	4	Provided	0	0.062323209	0.063928367	0	1	0	2.2	2.2	0
CCNA2	RNH1	P20248	P13489	 S	 M	2	4	Provided	0	0.267316619	0.19162894	0	1	0	9.3	6.7	0
MAD1L1	CCNB1	Q9Y6D9	P14635			Inf	Inf	STRING	0.061	0.061	0.061	0.061					
CCNH	CCNB1	P51946	P14635			Inf	Inf	STRING	0.053	0.053	0.053	0.053					
MAD2L1	CCNB1	Q13257	P14635			Inf	Inf	STRING	0.13	0.13	0.13	0.13					
CDC20	CCNB1	Q12834	P14635			Inf	Inf	STRING	0.997	0.997	0.997	0.997					
CUL1	CCNB1	Q13616	P14635			Inf	Inf	STRING	0.358	0.358	0.358	0.358					
PLK1	CCNB1	P53350	P14635			Inf	Inf	STRING	0.772	0.772	0.772	0.772					
CKS2	CCNB1	P33552	P14635			Inf	Inf	STRING	0.95	0.95	0.95	0.95					
BUB3	CCNB1	O43684	P14635			Inf	Inf	STRING	0.102	0.102	0.102	0.102					
YWHAG	CCNB1	P61981	P14635			Inf	Inf	STRING	0.19	0.19	0.19	0.19					
CDT1	CCNB1	Q9H211	P14635			Inf	Inf	STRING	0.354	0.354	0.354	0.354					
XPO1	CCNB1	O14980	P14635			Inf	Inf	STRING	0.13	0.13	0.13	0.13					
CDK7	CCNB1	P50613	P14635			Inf	Inf	STRING	0.47	0.47	0.47	0.47					
HDAC1	CCNB1	Q13547	P14635			Inf	Inf	STRING	0.393	0.393	0.393	0.393					
PPP2R1A	CCNB1	P30153	P14635			Inf	Inf	STRING	0.262	0.262	0.262	0.262					
XRCC6	CCNB1	P12956	P14635			Inf	Inf	STRING	0.26	0.26	0.26	0.26					
ACTG1	CCNB1	P63261	P14635			Inf	Inf	STRING	0.123	0.123	0.123	0.123					
CCNA2	CCNB1	P20248	P14635			Inf	Inf	STRING	0.707	0.707	0.707	0.707					
CCNB1	CCNB1	P14635	P14635	 G2		3	5	Provided	0	0	0.238893028	0.178962751		0	0	8.3	6.2
CDK5	CCNB1	Q00535	P14635			Inf	Inf	STRING	0.267	0.267	0.267	0.267					
RBL2	CCNB1	Q08999	P14635			Inf	Inf	STRING	0.185	0.185	0.185	0.185					
WEE1	CCNB1	P30291	P14635			Inf	Inf	STRING	0.266	0.266	0.266	0.266					
CKS1B	CCNB1	P61024	P14635			Inf	Inf	STRING	0.913	0.913	0.913	0.913					
CDK2	CCNB1	P24941	P14635			Inf	Inf	STRING	0.974	0.974	0.974	0.974					
CDKN1A	CCNB1	P38936	P14635			Inf	Inf	STRING	0.774	0.774	0.774	0.774					
DDX3X	CCNB1	O00571	P14635			Inf	Inf	STRING	0.385	0.385	0.385	0.385					
HIST1H2BB	CCNB1	Q16778	P14635			Inf	Inf	STRING	0.064	0.064	0.064	0.064					
DHX9	DDX5	Q08211	P17844			Inf	Inf	STRING	0.631	0.631	0.631	0.631					
SMAD1	DDX5	Q99717	P17844			Inf	Inf	STRING	0.383	0.383	0.383	0.383					
YWHAQ	DDX5	P27348	P17844			Inf	Inf	STRING	0.261	0.261	0.261	0.261					
DDX3X	DDX5	O00571	P17844			Inf	Inf	STRING	0.054	0.054	0.054	0.054					
THRAP3	DDX5	Q9Y2W1	P17844			Inf	Inf	STRING	0.199	0.199	0.199	0.199					
HNRNPF	DDX5	P52597	P17844			Inf	Inf	STRING	0.443	0.443	0.443	0.443					
NCL	DDX5	P19338	P17844			Inf	Inf	STRING	0.123	0.123	0.123	0.123					
HDAC1	DDX5	Q13547	P17844			Inf	Inf	STRING	0.386	0.386	0.386	0.386					
RPS20	DDX5	B4DW28	P17844			Inf	Inf	STRING	0.248	0.248	0.248	0.248					
HNRNPH1	DDX5	P31943	P17844			Inf	Inf	STRING	0.535	0.535	0.535	0.535					
RPL8	DDX5	P62917	P17844			Inf	Inf	STRING	0.264	0.264	0.264	0.264					
XPO1	DDX5	O14980	P17844			Inf	Inf	STRING	0.049	0.049	0.049	0.049					
CCNB1	DDX5	P14635	P17844	 M		4	5	Provided	0	0	0.014310029	0.069616046	1	0	0	0.5	2.4
SRP14	DDX5	P37108	P17844			Inf	Inf	STRING	0.789	0.789	0.789	0.789					
EIF4B	DDX5	P23588	P17844			Inf	Inf	STRING	0.183	0.183	0.183	0.183					
RPL3	DDX5	P39023	P17844			Inf	Inf	STRING	0.169	0.169	0.169	0.169					
CCNA2	RPL35A	P20248	P18077	 S	 M	2	4	Provided	0	0.062733524	0.212633238	0	2	0	2.2	7.4	0
RPS19	RPL35A	P39019	P18077			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL27	RPL35A	P61353	P18077			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS5	RPL35A	P46782	P18077			Inf	Inf	STRING	0.976	0.976	0.976	0.976					
RPL18	RPL35A	Q07020	P18077			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPS28	RPL35A	P62857	P18077			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPS20	RPL35A	B4DW28	P18077			Inf	Inf	STRING	0.963	0.963	0.963	0.963					
RPLP0	RPL35A	P05388	P18077			Inf	Inf	STRING	0.986	0.986	0.986	0.986					
RPS8	NCL	P62241	P19338			Inf	Inf	STRING	0.363	0.363	0.363	0.363					
CCNA2	NCL	P20248	P19338	 S	 M	2	4	Provided	0	0.116597612	0.07852149	0	1	0	4.1	2.7	0
CCNB1	NCL	P14635	P19338	 M		4	5	Provided	0	0	0.03003639	0.065272206	1	0	0	1	2.3
XRCC6	NCL	P12956	P19338			Inf	Inf	STRING	0.328	0.328	0.328	0.328					
EIF3A	NCL	Q14152	P19338			Inf	Inf	STRING	0.236	0.236	0.236	0.236					
DHX9	NCL	Q08211	P19338			Inf	Inf	STRING	0.512	0.512	0.512	0.512					
RPL21	NCL	P46778	P19338			Inf	Inf	STRING	0.531	0.531	0.531	0.531					
RPL9	NCL	P32969	P19338			Inf	Inf	STRING	0.531	0.531	0.531	0.531					
RPL5	NCL	P46777	P19338			Inf	Inf	STRING	0.363	0.363	0.363	0.363					
RPS19	NCL	P39019	P19338			Inf	Inf	STRING	0.264	0.264	0.264	0.264					
RPL3	NCL	P39023	P19338			Inf	Inf	STRING	0.794	0.794	0.794	0.794					
RPL18	NCL	Q07020	P19338			Inf	Inf	STRING	0.28	0.28	0.28	0.28					
ANAPC7	NCL	Q9UJX3	P19338			Inf	Inf	STRING	0.871	0.871	0.871	0.871					
HIST1H2BB	NCL	Q16778	P19338			Inf	Inf	STRING	0.384	0.384	0.384	0.384					
PTBP1	NCL	Q9BUQ0	P19338			Inf	Inf	STRING	0.462	0.462	0.462	0.462					
RPL14	NCL	P50914	P19338			Inf	Inf	STRING	0.359	0.359	0.359	0.359					
RPS5	NCL	P46782	P19338			Inf	Inf	STRING	0.517	0.517	0.517	0.517					
XRCC5	NCL	P13010	P19338			Inf	Inf	STRING	0.14	0.14	0.14	0.14					
XPO1	NCL	O14980	P19338			Inf	Inf	STRING	0.163	0.163	0.163	0.163					
CUL1	CCNA2	Q13616	P20248			Inf	Inf	STRING	0.451	0.451	0.451	0.451					
BUB3	CCNA2	O43684	P20248			Inf	Inf	STRING	0.076	0.076	0.076	0.076					
CDKN1A	CCNA2	P38936	P20248			Inf	Inf	STRING	0.994	0.994	0.994	0.994					
XRCC6	CCNA2	P12956	P20248			Inf	Inf	STRING	0.157	0.157	0.157	0.157					
HDAC1	CCNA2	Q13547	P20248			Inf	Inf	STRING	0.203	0.203	0.203	0.203					
CKS1B	CCNA2	P61024	P20248			Inf	Inf	STRING	0.801	0.801	0.801	0.801					
CDT1	CCNA2	Q9H211	P20248			Inf	Inf	STRING	0.808	0.808	0.808	0.808					
WEE1	CCNA2	P30291	P20248			Inf	Inf	STRING	0.266	0.266	0.266	0.266					
PSMC6	CCNA2	P62333	P20248			Inf	Inf	STRING	0.05	0.05	0.05	0.05					
MAD2L1	CCNA2	Q13257	P20248			Inf	Inf	STRING	0.993	0.993	0.993	0.993					
XPO1	CCNA2	O14980	P20248			Inf	Inf	STRING	0.104	0.104	0.104	0.104					
CDC20	CCNA2	Q12834	P20248			Inf	Inf	STRING	0.994	0.994	0.994	0.994					
PPP2R1A	CCNA2	P30153	P20248			Inf	Inf	STRING	0.188	0.188	0.188	0.188					
HIST1H2BB	CCNA2	Q16778	P20248			Inf	Inf	STRING	0.062	0.062	0.062	0.062					
DDX3X	CCNA2	O00571	P20248			Inf	Inf	STRING	0.163	0.163	0.163	0.163					
CDK5	CCNA2	Q00535	P20248			Inf	Inf	STRING	0.22	0.22	0.22	0.22					
CCNA2	CCNA2	P20248	P20248	 S	 M	2	4	Provided	0	0.255899713	0.20574021	0		0	8.9	7.2	0
CKS2	CCNA2	P33552	P20248			Inf	Inf	STRING	0.817	0.817	0.817	0.817					
PLK1	CCNA2	P53350	P20248			Inf	Inf	STRING	0.175	0.175	0.175	0.175					
CCNA2	SFPQ	P20248	P23246-1	 S	 G2	2	3	Provided	0	0.245925501	0.027511175	0	1	0	8.6	1	0
CCNB1	SFPQ	P14635	P23246-1	 M		4	5	Provided	0	0	0.002956476	0.110253582	1	0	0	0.1	3.8
RPL9	EIF4B	P32969	P23588			Inf	Inf	STRING	0.264	0.264	0.264	0.264					
RPS28	EIF4B	P62857	P23588			Inf	Inf	STRING	0.732	0.732	0.732	0.732					
CCNE1	EIF4B	P24864-1	P23588	G1	 G2	1	3	Provided	0.237727794	0.431919771	0	0	2	8.3	15.1	0	0
RPL23A	EIF4B	A8MUS3	P23588			Inf	Inf	STRING	0.289	0.289	0.289	0.289					
CCNB1	EIF4B	P14635	P23588	 G2		3	5	Provided	0	0	0.162326648	0.254252149	1	0	0	5.7	8.9
RPS20	EIF4B	B4DW28	P23588			Inf	Inf	STRING	0.732	0.732	0.732	0.732					
RPLP0	EIF4B	P05388	P23588			Inf	Inf	STRING	0.26	0.26	0.26	0.26					
RPS19	EIF4B	P39019	P23588			Inf	Inf	STRING	0.05	0.05	0.05	0.05					
RPS5	EIF4B	P46782	P23588			Inf	Inf	STRING	0.056	0.056	0.056	0.056					
CCNE1	CCNE1	P24864-1	P24864-1	G1	 G2	1	3	Provided	0.401327364	0.358044413	0	0		14	12.5	0	0
CDKN1A	CDK2	P38936	P24941			Inf	Inf	STRING	0.994	0.994	0.994	0.994					
BUB3	CDK2	O43684	P24941			Inf	Inf	STRING	0.08	0.08	0.08	0.08					
CDC20	CDK2	Q12834	P24941			Inf	Inf	STRING	0.892	0.892	0.892	0.892					
